Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
CO2 emissions (kt),EN.ATM.CO2E.KT,Morocco,MAR,23542.14,33905.082,52900.142,52482.104,55958.42,57685.577,62731.369,59082.704,59863.775,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mozambique,MOZ,1023.093,1349.456,2266.206,2530.23,2735.582,3223.293,3120.617,4019.032,8426.766,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Myanmar,MMR,4275.722,10087.917,9801.891,10230.93,12515.471,14297.633,11070.673,12860.169,21631.633,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Namibia,NAM,40.337,1642.816,3325.969,3069.279,3102.282,2830.924,3384.641,2629.239,3755.008,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Nauru,NRU,124.678,84.341,44.004,40.337,44.004,40.337,40.337,44.004,47.671,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Nepal,NPL,634.391,3069.279,3421.311,4334.394,5056.793,5533.503,5856.199,6637.27,8030.73,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Netherlands,NLD,158403.399,173504.105,177020.758,172371.002,183052.973,174167.832,170310.148,173254.749,167303.208,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,New Caledonia,NCL,1584.144,2233.203,2867.594,2973.937,3542.322,3648.665,3630.33,4242.719,4290.39,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,New Zealand,NZL,23545.807,32980.998,34202.109,32386.944,31781.889,31503.197,34150.771,33457.708,34664.151,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Nicaragua,NIC,2548.565,3762.342,4422.402,4495.742,4536.079,4880.777,4620.42,4550.747,4862.442,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Niger,NER,733.4,696.73,810.407,968.088,1173.44,1327.454,1866.503,1939.843,2126.86,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Nigeria,NGA,39196.563,76057.247,96148.74,76735.642,91517.319,95694.032,98502.954,98136.254,96280.752,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Northern Mariana Islands,MNP,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Norway,NOR,31510.531,39673.273,55690.729,55346.031,60105.797,45195.775,49889.535,58162.287,47626.996,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Oman,OMN,11386.035,21895.657,42705.882,41103.403,47417.977,54029.578,59159.711,61378.246,61169.227,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Pakistan,PAK,68565.566,106449.343,159070.793,158836.105,161395.671,161956.722,163496.862,164325.604,166298.45,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Palau,PLW,234.688,249.356,253.023,245.689,253.023,253.023,253.023,256.69,260.357,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Panama,PAN,2768.585,5790.193,7374.337,8599.115,9163.833,10098.918,10113.586,10718.641,8800.8,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Papua New Guinea,PNG,2141.528,2665.909,4796.436,5093.463,4763.433,5328.151,5078.795,6186.229,6318.241,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Paraguay,PRY,2163.53,3689.002,4451.738,4561.748,5097.13,5320.817,5284.147,5434.494,5702.185,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,21070.582,30296.754,41015.395,51704.7,57593.902,49632.845,55071.006,57153.862,61744.946,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Philippines,PHL,41763.463,73306.997,78858.835,77568.051,84869.048,85496.105,91205.624,98128.92,105653.604,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Poland,POL,368423.49,299289.539,314848.62,297617.387,316264.082,316997.482,299931.264,302278.144,285739.974,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Portugal,PRT,42320.847,62731.369,55624.723,54176.258,48136.709,47623.329,46013.516,45426.796,45052.762,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Puerto Rico,PRI,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Qatar,QAT,11774.737,34730.157,64843.561,69221.959,72507.591,80435.645,94124.556,85023.062,107853.804,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Romania,ROU,174087.158,90681.243,96365.093,81576.082,79412.552,84880.049,81722.762,70945.449,70003.03,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Russian Federation,RUS,,1557899.281,1714978.893,1574045.082,1670531.186,1763405.295,1830830.424,1778561.006,1705345.684,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Rwanda,RWA,542.716,528.048,542.716,575.719,590.387,663.727,737.067,803.073,839.743,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Samoa,WSM,102.676,143.013,179.683,187.017,187.017,201.685,198.018,198.018,198.018,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,San Marino,SMR,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sao Tome and Principe,STP,47.671,47.671,84.341,91.675,99.009,102.676,113.677,113.677,113.677,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Saudi Arabia,SAU,185803.223,296935.325,430175.77,468965.296,518491.798,499878.106,564842.678,541047.515,601046.969,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Senegal,SEN,3182.956,3938.358,5093.463,4583.75,7744.704,8368.094,7913.386,8423.099,8855.805,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Serbia,SRB,,,52097.069,46182.198,45954.844,49218.474,44062.672,44884.08,37667.424,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Seychelles,SYC,150.347,572.052,693.063,524.381,443.707,341.031,440.04,403.37,495.045,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sierra Leone,SLE,487.711,425.372,663.727,652.726,726.066,898.415,1030.427,1191.775,1309.119,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Singapore,SGP,44495.378,49005.788,36134.618,55932.751,55643.058,45221.444,36372.973,55676.061,56372.791,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sint Maarten (Dutch part),SXM,,,,,,,696.73,715.065,733.4,,,
