Country Name;Country Code;Indicator Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
United Kingdom;GBR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);12,97541858;;;;;12,30739893;;;;;12,09171915;12,09436562;12,32575825;12,28951512;12,36645562;12,41225066;;
Georgia;GEO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,75805384;;;;;16,57218454;;;;;20,2477697;19,79680894;18,26160101;19,25031444;19,94951889;20,4763228;;
Ghana;GHA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);36,50148156;;;;;27,06847214;;;;;27,38546471;29,84851562;31,10007313;27,53336504;25,3778426;22,98826426;;
Gibraltar;GIB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Guinea;GIN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);30,58253471;;;;;26,28173756;;;;;29,76640612;31,41431199;29,73987261;27,43240718;24,87737117;22,63592379;;
Gambia, The;GMB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);70,34528021;;;;;51,42479122;;;;;60,03786817;59,54139942;57,81041324;60,39293584;59,48544873;60,94814767;;
Guinea-Bissau;GNB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);41,88874324;;;;;30,92094702;;;;;37,19953493;37,22465835;35,19041059;34,74291709;33,94990267;32,98647968;;
Equatorial Guinea;GNQ;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);53,70123277;;;;;41,81004277;;;;;42,89914536;46,97997954;45,66061378;45,18452312;46,32019477;47,11721082;;
Greece;GRC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);11,99812407;;;;;10,64138672;;;;;11,64990173;11,4010346;11,16884853;12,02425824;12,6601089;13,48711001;;
Grenada;GRD;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,46327041;;;;;17,1387904;;;;;14,23646352;14,0369579;14,47860075;15,23001362;15,03709875;15,1402398;;
Greenland;GRL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);6,043513843;;;;;5,5212853;;;;;4,881577078;4,947269234;4,902523735;5,172410008;5,216358613;5,330841384;;
Guatemala;GTM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);38,70556943;;;;;37,33177561;;;;;28,78974122;29,34596294;33,46232874;32,91683323;33,25911961;34,84767569;;
Guam;GUM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);8,444836789;;;;;8,813820604;;;;;7,620706344;7,54148483;7,672334715;7,924656483;7,596176677;7,393453727;;
Guyana;GUY;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);26,51026229;;;;;18,30223061;;;;;15,06926936;16,48322643;17,67042104;18,62154061;18,09930812;17,3922441;;
High income;HIC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,73864665;;;;;15,64816496;;;;;16,55680181;16,49131044;16,69596599;16,76460501;16,66800985;16,64889135;;
Hong Kong SAR, China;HKG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Honduras;HND;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);37,27139965;;;;;40,17349718;;;;;32,02111242;34,13333902;39,41232902;36,95912098;37,11423279;37,59004958;;
Heavily indebted poor countries (HIPC);HPC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);45,37814201;;;;;40,50160418;;;;;39,78172285;42,00798932;42,3781245;40,88091898;39,4148616;38,08850581;;
Croatia;HRV;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,02012802;;;;;17,53064305;;;;;17,52935021;16,86451747;17,17789358;18,63551732;20,06918657;21,78040386;;
Haiti;HTI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);31,01404248;;;;;30,08168398;;;;;22,5871097;23,36059622;24,13698101;25,21350435;25,0882277;25,837657;;
Hungary;HUN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);24,30350172;;;;;21,82700469;;;;;22,82931874;21,73224275;20,75975849;20,92537186;21,94633745;23,05838255;;
IBRD only;IBD;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);43,65890785;;;;;46,30741752;;;;;46,37936955;45,81852221;46,42293476;47,31741252;48,45815151;49,54880945;;
IDA & IBRD total;IBT;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);45,54967849;;;;;46,96931642;;;;;46,74661888;46,7008053;47,17800104;47,78644523;48,30697099;48,95507706;;
IDA total;IDA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);52,49141251;;;;;49,24900751;;;;;47,9320089;49,51141328;49,55277514;49,24284108;47,84354193;47,15846749;;
IDA blend;IDB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);62,42327469;;;;;53,97391126;;;;;49,80937703;51,51223234;50,38803303;49,39475029;47,56249001;46,40081427;;
Indonesia;IDN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,49438573;;;;;17,11373179;;;;;14,49991068;14,8452272;14,94642061;15,55812536;15,23766797;15,40820407;;
IDA only;IDX;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);47,53615445;;;;;46,91811953;;;;;47,00652635;48,52365645;49,14006343;49,16770564;47,98268655;47,53385378;;
Isle of Man;IMN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
India;IND;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);61,49603362;;;;;65,66193004;;;;;64,63060009;63,86602195;66,08989937;68,96813884;71,62337709;74,32984681;;
Not classified;INX;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Ireland;IRL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);9,854683477;;;;;9,261923204;;;;;9,315093402;9,344139284;9,582682389;9,614099788;9,694570008;9,799825902;;
Iran, Islamic Rep.;IRN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);48,02147067;;;;;37,22546487;;;;;48,09925658;46,62644713;45,39340976;44,78403369;43,67268667;42,98979197;;
Iraq;IRQ;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);50,95662132;;;;;55,06001284;;;;;90,65935023;83,88459879;78,57561599;66,38925866;58,86882866;51,99596281;;
Iceland;ISL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);8,018388389;;;;;7,901968162;;;;;7,833622919;7,725124105;7,641008895;7,591107901;7,697073981;7,78903328;;
Israel;ISR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);17,12624191;;;;;16,73646008;;;;;18,08463961;17,82445218;18,01229813;18,96548792;19,94741583;21,09447276;;
Italy;ITA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,44006304;;;;;14,22591662;;;;;14,64620473;14,37746445;14,57311469;16,64030991;17,90572685;19,86123293;;
Jamaica;JAM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,51293437;;;;;19,94518639;;;;;13,64875631;14,42893754;15,6526909;17,05290558;16,81027962;16,99207352;;
Jordan;JOR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);29,75398248;;;;;29,11889943;;;;;36,02868609;34,75692723;34,56808995;35,53203593;37,03792968;38,79814209;;
Japan;JPN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);12,45214952;;;;;13,20743784;;;;;12,35442871;11,79530762;11,98730649;12,41386444;12,90119799;13,33416293;;
Kazakhstan;KAZ;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,51784006;;;;;14,98541998;;;;;16,83214082;17,14139032;18,16183816;18,2666365;19,12674537;19,66999774;;
Kenya;KEN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,1797936;;;;;15,14638636;;;;;15,0399724;16,1242234;16,64042643;16,73233923;16,51064549;16,29880428;;
Kyrgyz Republic;KGZ;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);14,97518453;;;;;14,96126118;;;;;15,86480362;15,8096858;16,12652952;15,88369369;16,77185302;16,92166624;;
Cambodia;KHM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);25,1825367;;;;;28,17367825;;;;;24,77074065;25,235386;26,12645373;27,49315224;27,76846904;29,03890178;;
Kiribati;KIR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);4,479850383;;;;;4,314494951;;;;;3,410355156;3,329558243;3,319247321;3,325495619;3,397615039;3,446646019;;
St. Kitts and Nevis;KNA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Korea, Rep.;KOR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);25,77766471;;;;;25,97494325;;;;;25,17929851;23,81396861;24,93615507;26,10631611;27,51764649;28,66424214;;
Kuwait;KWT;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);65,89427637;;;;;65,58517836;;;;;104,1890789;102,8482505;103,7350314;87,22681884;77,05769694;67,43349003;;
Latin America & Caribbean (excluding high income);LAC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);23,23277396;;;;;21,89549647;;;;;17,13412526;17,80112731;18,21159469;18,25737463;17,84132096;17,89008926;;
Lao PDR;LAO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);27,17834793;;;;;30,15931667;;;;;28,10376675;28,70205772;29,04353856;31,0061745;31,23780134;32,56943026;;
Lebanon;LBN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);24,63055079;;;;;24,68310541;;;;;28,40289918;27,54087011;27,15373527;28,79200433;30,56520468;32,60158923;;
Liberia;LBR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);10,53349317;;;;;9,466795539;;;;;9,530500407;10,58214462;11,12994883;10,03425693;8,976974996;7,851815034;;
Libya;LBY;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);54,19345144;;;;;54,22123122;;;;;67,71389865;61,08713909;58,69926446;64,27003391;71,10513256;79,20020559;;
St. Lucia;LCA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);19,44802973;;;;;16,97655007;;;;;14,36179792;14,40420799;14,79109908;14,85330826;14,33470058;14,00929929;;
Latin America & Caribbean;LCN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);23,13258374;;;;;21,8227386;;;;;17,20863146;17,8309353;18,25839303;18,29734215;17,87422902;17,92843503;;
Least developed countries: UN classification;LDC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);48,73217692;;;;;48,46657982;;;;;48,22588282;49,76495096;50,32557265;50,55889582;49,37433963;49,01836255;;
Low income;LIC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);43,30788922;;;;;39,45498438;;;;;39,36180377;41,29788844;41,57277799;40,74960607;39,62882695;38,716685;;
Liechtenstein;LIE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Sri Lanka;LKA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);30,71722048;;;;;30,41385172;;;;;26,85367452;27,10590215;27,96518221;28,14849492;27,96620125;27,92362221;;
Lower middle income;LMC;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);51,8549485;;;;;53,49608004;;;;;52,35798071;52,42682656;53,43407839;55,08030048;55,96245641;57,28726706;;
Low & middle income;LMY;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);45,65973941;;;;;47,08538975;;;;;46,83171795;46,78185055;47,28157529;47,89593139;48,42148809;49,07815124;;
Lesotho;LSO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);27,80416806;;;;;26,39929039;;;;;22,7534192;22,32359606;22,18348968;23,08287203;23,8663077;24,70117006;;
Late-demographic dividend;LTE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);39,8493169;;;;;42,89664663;;;;;43,41888829;42,76688572;42,85095557;42,68816459;43,40240648;43,76245733;;
Lithuania;LTU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,48781706;;;;;17,4990803;;;;;18,7971457;18,69884361;16,88664606;18,50825871;18,94196512;19,06499459;;
Luxembourg;LUX;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,97141088;;;;;16,24854947;;;;;16,36504676;16,37103967;16,20486376;16,32351279;16,51841848;16,58784625;;
Latvia;LVA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,24626796;;;;;17,43835938;;;;;18,38863954;17,81409163;16,12200735;18,2766284;19,27617816;20,41799195;;
